Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BVT,Chrome 71.0.3578.98,,2019-01-22 18:10:06,2019-01-22 18:11:06,1m - 0.481s,PASSED
,,,,,,
Test Cases/TC_SmokeTest,Chrome 71.0.3578.98,,2019-01-22 18:10:06,2019-01-22 18:10:44,37.914s,PASSED
runWithCucumberRunner(common.CucumberPAFrunner),Chrome 71.0.3578.98,,2019-01-22 18:10:07,2019-01-22 18:10:44,37.364s,PASSED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint1/TC_AddSwiftCode,Chrome 71.0.3578.98,,2019-01-22 18:10:44,2019-01-22 18:11:06,21.752s,PASSED
"runFeatureFile(""Include/features/MakePayment.feature"")",Chrome 71.0.3578.98,,2019-01-22 18:10:44,2019-01-22 18:11:06,21.459s,PASSED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint2/TC_AddCaptchaDetails,Chrome 71.0.3578.98,,2019-01-22 18:11:06,2019-01-22 18:11:06,0.245s,PASSED
return null,Chrome 71.0.3578.98,,2019-01-22 18:11:06,2019-01-22 18:11:06,0.003s,PASSED
