Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BVT,Chrome 71.0.3578.98,,2019-01-22 17:19:51,2019-01-22 17:21:47,1m - 56.030s,PASSED
,,,,,,
Test Cases/TC_SmokeTest,Chrome 71.0.3578.98,,2019-01-22 17:19:52,2019-01-22 17:20:59,1m - 6.779s,PASSED
runWithCucumberRunner(common.CucumberPAFrunner),Chrome 71.0.3578.98,,2019-01-22 17:19:52,2019-01-22 17:20:59,1m - 6.181s,PASSED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint1/TC_AddSwiftCode,Chrome 71.0.3578.98,,2019-01-22 17:20:59,2019-01-22 17:21:47,48.361s,PASSED
"runFeatureFile(""Include/features/MakePayment.feature"")",Chrome 71.0.3578.98,,2019-01-22 17:20:59,2019-01-22 17:21:47,48.117s,PASSED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint2/TC_AddCaptchaDetails,Chrome 71.0.3578.98,,2019-01-22 17:21:47,2019-01-22 17:21:47,0.287s,PASSED
return null,Chrome 71.0.3578.98,,2019-01-22 17:21:47,2019-01-22 17:21:47,0.000s,PASSED
