Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BVT,Chrome 71.0.3578.98,,2019-01-21 22:22:42,2019-01-21 22:26:56,4m - 13.745s,FAILED
,,,,,,
Test Cases/TC_SmokeTest,Chrome 71.0.3578.98,,2019-01-21 22:22:43,2019-01-21 22:24:39,1m - 56.272s,FAILED
runWithCucumberRunner(common.CucumberPAFrunner),Chrome 71.0.3578.98,,2019-01-21 22:22:44,2019-01-21 22:24:39,1m - 54.742s,FAILED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint1/TC_AddSwiftCode,Chrome 71.0.3578.98,,2019-01-21 22:24:39,2019-01-21 22:26:54,2m - 14.770s,FAILED
"runFeatureFile(""Include/features/MakePayment.feature"")",Chrome 71.0.3578.98,,2019-01-21 22:24:39,2019-01-21 22:26:54,2m - 14.454s,FAILED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint2/TC_AddCaptchaDetails,Chrome 71.0.3578.98,,2019-01-21 22:26:54,2019-01-21 22:26:54,0.456s,PASSED
return null,Chrome 71.0.3578.98,,2019-01-21 22:26:54,2019-01-21 22:26:54,0.001s,PASSED
