Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionTest,IE 11,,2019-01-21 22:23:17,2019-01-21 22:24:18,1m - 1.452s,FAILED
,,,,,,
Test Cases/TC_RegressionTest,IE 11,,2019-01-21 22:23:17,2019-01-21 22:24:18,1m - 0.279s,FAILED
runWithCucumberRunner(common.CucumberPAFrunner1),IE 11,,2019-01-21 22:23:18,2019-01-21 22:24:18,59.603s,FAILED
